Date,Sentiment_Score
2022-12-14,0.20024999999999998
2023-02-01,0.39275
2023-03-22,0.9295
2023-05-03,0.8922
2023-06-14,0.9239999999999999
2023-07-26,0.8922
2023-09-20,0.94545
2023-11-01,0.9545
2023-12-13,0.96765
2024-01-31,0.9883500000000001
2024-03-20,0.98765
2024-05-01,0.9944999999999999
2024-06-12,0.99125
2024-07-31,0.9903
2024-09-18,0.9777
2024-11-07,0.9460500000000001
2024-12-18,0.9460500000000001
2025-01-29,0.8858
2025-03-19,0.9652000000000001
2025-05-07,0.8124
