Date,open,close,volume,range,return,sma_7,sma_30,sma_60,Sentiment_Numeric
2000-01-03,0.7374654928650619,0.7277679486154449,0.009272373812266616,0.17682901429080133,0.4063244448609972,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-04,0.7179629597047334,0.7074633302432505,0.009286788286130304,0.17682901429080133,0.4063244448609972,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-05,0.6924595962479891,0.6871587947345354,0.009837506350745148,0.17682901429080133,0.4049869559604007,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-06,0.6879590561771884,0.6871587947345354,0.0,0.0,0.46136905098314246,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-07,0.6939598038220931,0.723255783578242,0.010121679966623937,0.26829215853584787,0.5641006075644335,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-10,0.7314646625686465,0.7157355913797163,0.0071120714708064,0.18292696036603798,0.4408742017002551,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-11,0.7149625445565255,0.6871587947345354,0.016119388025227697,0.34756209813420047,0.3827943227202113,0.713072190459177,0.678023368150027,0.707301512572748,0.0
2000-01-12,0.6789577280810544,0.6796385196725305,0.012703087101681203,0.10975631059481177,0.4399664468383948,0.706087259674266,0.678023368150027,0.707301512572748,0.0
2000-01-13,0.6849586410289807,0.6728702306849865,0.011639876310533879,0.1829276322419828,0.44192723553975155,0.7010668301500218,0.678023368150027,0.707301512572748,0.0
2000-01-14,0.6774576031584614,0.6939269179951209,0.01659594575088941,0.2378057875393887,0.5223652387307067,0.7020490747674473,0.678023368150027,0.707301512572748,0.0
2000-01-17,0.7074615893375171,0.6721182446105256,0.03332676105980731,0.34756142625825565,0.3998129217782952,0.6998662688648922,0.678023368150027,0.707301512572748,0.0
2000-01-18,0.6699565652879418,0.6315090907296161,0.021178121066944642,0.341463480183019,0.3436234893415085,0.6865512490658363,0.678023368150027,0.707301512572748,0.0
2000-01-19,0.6257008137836768,0.6315090907296161,0.02178288708456154,0.14634129954245248,0.46136905098314246,0.6743276201922419,0.678023368150027,0.707301512572748,0.0
2000-01-20,0.6399526617603972,0.6473015440646075,0.012405459203931254,0.1951215087646217,0.50960717810567,0.6685432146150116,0.678023368150027,0.707301512572748,0.0
2000-01-21,0.6534544472758212,0.6232368295931503,0.019240874171142855,0.32926825990849046,0.38936046813828484,0.6603577465966033,0.678023368150027,0.707301512572748,0.0
2000-01-24,0.6324517065413888,0.6315090907296161,0.010428782250565807,0.18292696036603798,0.48691493679512954,0.6543550844807502,0.678023368150027,0.707301512572748,0.0
2000-01-25,0.6249507513223802,0.6315090907296161,0.016700212482899164,0.10975631059481177,0.46136905098314246,0.6452965061271361,0.678023368150027,0.707301512572748,0.0
2000-01-26,0.6422030144473085,0.6510616401638705,0.023865562488316238,0.17682901429080133,0.5210924103100467,0.6422406019151914,0.678023368150027,0.707301512572748,0.0
2000-01-27,0.6602053400335333,0.6533176812507322,0.05288617339098307,0.14024402534316063,0.4680871975373149,0.6454056404093558,0.678023368150027,0.707301512572748,0.0
2000-01-28,0.6579549873466222,0.6292530496427544,0.013810398214628074,0.2499996640620276,0.3899151558091991,0.6450782255368805,0.678023368150027,0.707301512572748,0.0
2000-01-31,0.6324517065413888,0.6292530496427544,0.052406315598220794,0.16463379401627276,0.46136905098314246,0.6424588825054469,0.678023368150027,0.707301512572748,0.0
2000-02-01,0.7224634997755339,0.638277296853681,0.012271442330120064,0.7743907764870294,0.48901577695731746,0.6446416763821858,0.678023368150027,0.707301512572748,0.0
2000-02-02,0.6459534920568126,0.638277296853681,0.011249619924442124,0.14634129954245248,0.46136905098314246,0.6456239330254274,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-03,0.6414528693345012,0.6488055990770085,0.012012177844163805,0.20731672903915022,0.4932437699733038,0.6481341417746413,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-04,0.6587051324594293,0.6555738052010733,0.014649650284005451,0.14024402534316063,0.48158226922791686,0.6487889835454079,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-07,0.6654560252171413,0.6796385196725305,0.013142014998015528,0.16463446589221759,0.5326174648682549,0.6526088758361548,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-08,0.681958225880773,0.6931749319206602,0.012895095988248608,0.2256105672648602,0.5002522058215539,0.6618857347800244,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-09,0.6999605514669978,0.6781343817966503,0.011508565049066069,0.2682928304117927,0.41887743185892584,0.6689797878213388,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-10,0.6722069179748533,0.661589942387198,0.009640017729634213,0.21951194931367868,0.41375671111180296,0.6723631069057587,0.678023368150027,0.707301512572748,-2.1565000000000003
2000-02-11,0.6624556100689336,0.6187247474194266,0.01833085668971458,0.40243890967971674,0.33542497834028884,0.6695254832840696,0.678023368150027,0.707301512572748,-2.1565000000000003
