Date,adj close,close,high,low,open,volume,range,return,sma_5,sma_10,vol_rel,eventos_negativos
2000-01-03,4.115110874176025,13.6233491897583,13.757854461669922,13.594527244567873,13.69060230255127,8244257,0.1633272171020507,,,,,0
2000-01-04,4.007734775543213,13.267873764038086,13.536882400512695,13.219837188720703,13.45041561126709,8522096,0.3170452117919922,-0.0260931009525507,,,,0
2000-01-05,3.917773723602295,12.970044136047363,13.210229873657228,12.912399291992188,13.142976760864258,12159826,0.297830581665039,-0.0224474270171287,,,,0
2000-01-06,3.917773723602295,12.970044136047363,12.970044136047363,12.970044136047363,12.970044136047363,0,0.0,0.0,,,,0
2000-01-07,3.967107057571411,13.133370399475098,13.248659133911133,12.998866081237791,13.248659133911133,62261944,0.2497930526733398,0.0125925757626226,13.192936325073244,,,0
2000-01-10,3.9032604694366455,12.922005653381348,13.27748203277588,12.902791023254396,13.27748203277588,58740351,0.3746910095214844,-0.0160937169717072,13.052667617797852,,,0
2000-01-11,3.824907541275024,12.662605285644531,12.893183708190918,12.53770923614502,12.873969078063965,6761292,0.3554744720458984,-0.0200743115809531,12.93161392211914,,,0
2000-01-12,3.812411069869995,12.51849365234375,12.643390655517578,12.393596649169922,12.643390655517578,8266754,0.2497940063476562,-0.0113808833213935,12.841303825378418,,,0
2000-01-13,3.718785285949707,12.211055755615234,12.53770923614502,12.105374336242676,12.48967170715332,9372669,0.4323348999023437,-0.0245586973374353,12.689506149291992,,,0
2000-01-14,3.791931629180908,12.451242446899414,12.480064392089844,12.230271339416504,12.29752254486084,8538333,0.2497930526733398,0.0196696089258072,12.553080558776855,12.873008441925048,0.4669135834847699,0
2000-01-17,3.7568202018737793,12.335951805114746,12.53770923614502,12.307129859924316,12.53770923614502,6825078,0.2305793762207031,-0.0092593684747803,12.435869789123537,12.744268703460694,0.3761444104231913,0
2000-01-18,3.677823543548584,12.076552391052246,12.326345443725586,11.942047119140623,12.307129859924316,9698972,0.3842983245849609,-0.0210279205172435,12.318659210205078,12.625136566162109,0.5310861256243039,0
2000-01-19,3.6719696521759033,12.057336807250977,12.057336807250977,11.817151069641112,11.85558032989502,13027455,0.2401857376098632,-0.0015911481339249,12.226427841186524,12.533865833282473,0.7099707232185964,0
2000-01-20,3.666119337081909,12.038122177124023,12.163019180297852,11.922833442687988,12.105374336242676,9459285,0.2401857376098632,-0.0015936048261833,12.19184112548828,12.440673637390136,0.4902399809179616,0
2000-01-21,3.590046167373657,11.788328170776367,12.009300231933594,11.74989891052246,11.942047119140623,6786146,0.2594013214111328,-0.020750246813605,12.059258270263673,12.306169414520264,0.493622847888693,0
2000-01-24,3.607600450515747,11.845973014831545,12.047728538513184,11.817151069641112,12.047728538513184,5863878,0.2305774688720703,0.0048899931542523,11.961262512207032,12.198566150665282,0.6931309178731285,0
2000-01-25,3.686601161956787,12.105374336242676,12.259093284606934,11.79793643951416,11.836365699768066,9429700,0.4611568450927734,0.021897848415352,11.967026901245116,12.142843055725098,1.0805416447467104,0
2000-01-26,3.800708293914795,12.480064392089844,12.53770923614502,12.15341091156006,12.29752254486084,9120798,0.3842983245849609,0.0309523725115523,12.05157241821289,12.139000129699706,1.0350157169045742,0
2000-01-27,3.949930906295776,12.970044136047363,13.114154815673828,12.54731559753418,12.614567756652832,13662088,0.5668392181396484,0.0392609948605777,12.23795680999756,12.21489896774292,1.4783932252412146,0
2000-01-28,3.935297966003418,12.922005653381348,13.171799659729004,12.585745811462402,13.171799659729004,16119882,0.5860538482666016,-0.0037038025593532,12.464692306518554,12.261975288391112,1.612096500642913,0
2000-01-31,3.876782178878784,12.7298583984375,12.97965145111084,12.585745811462402,12.93161392211914,9868382,0.3939056396484375,-0.0148697702274699,12.641469383239746,12.301365947723388,0.9577551414601412,0
2000-02-01,3.9294474124908447,12.902791023254396,13.00847339630127,12.691428184509276,12.902791023254396,9530743,0.3170452117919922,0.0135848034914607,12.80095272064209,12.383989810943604,0.9264990010484956,0
2000-02-02,3.917743682861328,12.864361763000488,12.93161392211914,12.672212600708008,12.93161392211914,7648463,0.2594013214111328,-0.0029783680278666,12.87781219482422,12.464692306518554,0.7845433191610183,0
2000-02-03,3.949930906295776,12.970044136047363,13.114154815673828,12.691428184509276,12.893183708190918,7766488,0.4227266311645508,0.0082151275744459,12.87781219482422,12.55788450241089,0.8107271650900896,0
2000-02-04,3.891411066055298,12.777894973754885,13.114154815673828,12.7298583984375,13.114154815673828,10516943,0.3842964172363281,-0.0148148425924353,12.848990058898924,12.65684118270874,1.0566885800704158,0
2000-02-07,3.8182644844055176,12.53770923614502,12.854754447937012,12.508886337280272,12.806716918945312,8135156,0.3458681106567383,-0.0187969722793301,12.81056022644043,12.726014804840087,0.7991418903295203,0
