Date,adj close,close,dividends,high,low,open,stock splits,volume,range,return,sma_5,sma_10,vol_rel,eventos_negativos
2000-01-03,2.6250667572021484,9.849401473999023,0.0,9.98788070678711,9.736886024475098,9.953261375427246,0.0,8797337.0,0.2509946823120117,,,,,0
2000-01-04,2.562784433364868,9.615715980529783,0.0,9.780160903930664,9.529166221618652,9.728231430053713,0.0,8811013.0,0.2509946823120117,-0.0237258572600714,,,,0
2000-01-05,2.500502586364746,9.382031440734863,0.0,9.555130958557127,9.304136276245115,9.433960914611816,0.0,9333517.0,0.2509946823120117,-0.0243023546315317,,,,0
2000-01-06,2.500502586364746,9.382031440734863,0.0,9.382031440734863,9.382031440734863,9.382031440734863,0.0,0.0,0.0,0.0,,,,0
2000-01-07,2.6112253665924072,9.797471046447754,0.0,9.82343578338623,9.44261646270752,9.451271057128906,0.0,9603132.0,0.3808193206787109,0.044280346781736,9.60533027648926,,,0
2000-01-10,2.588158369064331,9.71092128753662,0.0,9.884020805358888,9.624370574951172,9.884020805358888,0.0,6747710.0,0.2596502304077148,-0.0088338876941629,9.577634239196778,,,0
2000-01-11,2.500502586364746,9.382031440734863,0.0,9.71092128753662,9.217584609985352,9.693611145019531,0.0,15293569.0,0.4933366775512695,-0.0338680375490086,9.530897331237792,,,0
2000-01-12,2.477434635162353,9.295480728149414,0.0,9.295480728149414,9.139690399169922,9.278169631958008,0.0,12052290.0,0.1557903289794922,-0.0092251569537129,9.513587188720702,,,0
2000-01-13,2.456674098968506,9.217584609985352,0.0,9.35606575012207,9.09641456604004,9.347411155700684,0.0,11043549.0,0.2596511840820312,-0.008379998887865,9.4806978225708,,,0
2000-01-14,2.521263837814331,9.459925651550291,0.0,9.529166221618652,9.191619873046877,9.260860443115234,0.0,15745712.0,0.3375463485717773,0.0262911653994923,9.41318874359131,9.509259510040284,1.6161411130283936,0
2000-01-17,2.454367160797119,9.208930015563965,0.0,9.624370574951172,9.13103485107422,9.607061386108398,0.0,31619384.0,0.4933357238769531,-0.0265325167693252,9.312790489196775,9.445212364196776,2.629473314384125,0
2000-01-18,2.3298041820526123,8.741559982299805,0.0,9.174309730529783,8.689629554748535,9.174309730529783,0.0,20093136.0,0.48468017578125,-0.0507518281140436,9.184696197509766,9.35779676437378,1.5276234036403566,0
2000-01-19,2.3298041820526123,8.741559982299805,0.0,8.750214576721191,8.542494773864746,8.663664817810059,0.0,20666919.0,0.2077198028564453,0.0,9.073912048339844,9.293749618530274,1.446600706352968,0
2000-01-20,2.378244638442993,8.923315048217773,0.0,9.070449829101562,8.793490409851074,8.828109741210938,0.0,11769910.0,0.2769594192504883,0.0207920630054581,9.015058135986328,9.247877979278565,0.7611398666893101,0
2000-01-21,2.304429531097412,8.646354675292969,0.0,9.061795234680176,8.594425201416016,8.98390007019043,0.0,18255137.0,0.4673700332641601,-0.0310378341937082,8.852343940734864,9.132766342163086,1.1179764262889835,0
2000-01-24,2.3298041820526123,8.741559982299805,0.0,8.914660453796387,8.655010223388672,8.741559982299805,0.0,9894501.0,0.2596502304077148,0.0110110341967448,8.758869934082032,9.035830211639404,0.5944995997725394,0
2000-01-25,2.3298041820526123,8.741559982299805,0.0,8.758870124816895,8.603079795837402,8.655010223388672,0.0,15844637.0,0.1557903289794922,0.0,8.758869934082032,8.971783065795899,0.9488648917486238,0
2000-01-26,2.3897781372070312,8.96658992767334,0.0,8.992554664611816,8.741559982299805,8.85407543182373,0.0,22642896.0,0.2509946823120117,0.0257425386120078,8.803875923156738,8.93889398574829,1.2751117225833852,0
2000-01-27,2.3966989517211914,8.992554664611816,0.0,9.070449829101562,8.871384620666504,9.061795234680176,0.0,50176740.0,0.1990652084350586,0.0028957203516515,8.817723846435547,8.916390991210937,2.3153974446429477,0
2000-01-28,2.3228847980499268,8.715595245361328,0.0,9.035829544067385,8.680974960327148,9.035829544067385,0.0,13102872.0,0.3548545837402344,-0.0307987473615701,8.831571960449219,8.841957950592041,0.6120945839297923,0
2000-01-31,2.335641622543335,8.715595245361328,0.047603,8.845419883728027,8.611735343933105,8.741559982299805,0.0,49721466.0,0.2336845397949218,0.0,8.826379013061523,8.792624473571777,2.1416138386626864,0
2000-02-01,2.3634724617004395,8.81945514678955,0.0,9.780160903930664,8.680974960327148,9.780160903930664,0.0,11642759.0,1.0991859436035156,0.0119165585946066,8.841958045959473,8.800413990020752,0.5204215790804378,0
2000-02-02,2.3634724617004395,8.81945514678955,0.0,8.906004905700684,8.698285102844238,8.897350311279297,0.0,10673286.0,0.2077198028564453,0.0,8.812531089782714,8.808203506469727,0.4993952860856134,0
2000-02-03,2.395944118499756,8.940625190734863,0.0,9.035829544067385,8.741559982299805,8.845419883728027,0.0,11396777.0,0.2942695617675781,0.0137389489405612,8.802145195007324,8.809934520721436,0.53417950735293,0
2000-02-04,2.4168198108673096,9.01852035522461,0.0,9.122380256652832,8.923315048217773,9.044485092163086,0.0,13899128.0,0.1990652084350586,0.0087124963666376,8.86273021697998,8.8471510887146,0.6650457607462515,0
2000-02-07,2.4910404682159424,9.295480728149414,0.0,9.295480728149414,9.061795234680176,9.122380256652832,0.0,12468731.0,0.2336854934692382,0.0307101788337547,8.978707313537598,8.90254316329956,0.589345026498458,0
2000-02-08,2.5327889919281006,9.451271057128906,0.0,9.511856079101562,9.191619873046877,9.312790870666504,0.0,12234462.0,0.3202362060546875,0.016759792584768,9.105070495605467,8.97351427078247,0.58831092267044,0
2000-02-09,2.4864015579223637,9.278169631958008,0.0,9.52051067352295,9.139690399169922,9.52051067352295,0.0,10918965.0,0.3808202743530273,-0.0183151476795633,9.19681339263916,9.004672241210937,0.5564223839041791,0
2000-02-10,2.4353744983673096,9.087759971618652,0.0,9.278169631958008,8.96658992767334,9.200275421142578,0.0,9146146.0,0.3115797042846679,-0.0205223301461855,9.226240348815915,9.01419277191162,0.5892960950536824,0
2000-02-11,2.3031697273254395,8.594425201416016,0.0,9.09641456604004,8.525184631347656,9.087759971618652,0.0,17391741.0,0.5712299346923828,-0.0542856294338028,9.1414213180542,9.00207576751709,1.0904359897237417,0
2000-02-14,2.4145002365112305,9.009864807128906,0.0,9.364721298217772,8.611735343933105,8.93196964263916,0.0,26742175.0,0.752985954284668,0.0483382653262771,9.084298133850098,9.031502723693848,1.958930344007512,0
2000-02-15,2.4539294242858887,9.156999588012695,0.0,9.44261646270752,9.044485092163086,9.13103485107422,0.0,21321476.0,0.3981313705444336,0.0163304093938647,9.025443840026856,9.065257167816162,1.4584482485799737,0
2000-02-16,2.5768580436706543,9.615715980529783,0.0,9.641680717468262,9.226240158081056,9.37337589263916,0.0,33672600.0,0.415440559387207,0.0500946175773109,9.092953109741211,9.144883251190183,1.990198117938072,0
2000-02-17,2.5745391845703125,9.607061386108398,0.0,9.762850761413574,9.529166221618652,9.546476364135742,0.0,16808772.0,0.2336845397949218,-0.0009000468024337,9.19681339263916,9.21152687072754,0.962678583050776,0
2000-02-18,2.50959587097168,9.364721298217772,0.0,9.650336265563965,9.364721298217772,9.615715980529783,0.0,18340717.0,0.2856149673461914,-0.025225204477307,9.350872611999511,9.246146965026856,1.0243590487204153,0
2000-02-21,2.553664445877075,9.529166221618652,0.0,9.589751243591309,9.260860443115234,9.304136276245115,0.0,8925338.0,0.3288908004760742,0.0175600445719805,9.45473289489746,9.26951551437378,0.5085593363308689,0
2000-02-22,2.51887321472168,9.399340629577637,0.0,9.650336265563965,9.295480728149414,9.52051067352295,0.0,11592996.0,0.3548555374145508,-0.0136240242872962,9.503201103210449,9.264322471618652,0.6629837931888797,0
2000-02-23,2.5745391845703125,9.607061386108398,0.0,9.607061386108398,9.304136276245115,9.477235794067385,0.0,9405260.0,0.3029251098632812,0.0220995030095101,9.501470184326172,9.297211647033691,0.5425676826973764,0
2000-02-24,2.50495719909668,9.347411155700684,0.0,9.598405838012695,9.304136276245115,9.52051067352295,0.0,11082867.0,0.2942695617675781,-0.0270270189782656,9.449540138244627,9.323176765441897,0.6322807938675866,0
2000-02-25,2.521193265914917,9.40799617767334,0.0,9.555130958557127,9.304136276245115,9.37337589263916,0.0,9944867.0,0.2509946823120117,0.0064814760968021,9.458195114135744,9.404533863067629,0.5925310253870736,0
2000-02-28,2.5072755813598637,9.35606575012207,0.0,9.485891342163086,9.286826133728027,9.433960914611816,0.0,9537525.0,0.1990652084350586,-0.0055198180962816,9.423575019836424,9.439153957366944,0.6331654982793943,0
2000-02-29,2.528150796890259,9.433960914611816,0.0,9.607061386108398,9.35606575012207,9.399340629577637,0.0,7498301.0,0.2509956359863281,0.0083256324367675,9.430499076843262,9.466850090026856,0.5480843863743914,0
2000-03-01,2.523512125015259,9.416650772094728,0.0,9.494545936584473,9.321446418762209,9.477235794067385,0.0,9141201.0,0.1730995178222656,-0.0018348753692924,9.392416954040527,9.44694356918335,0.8141589359339675,1
2000-03-02,2.5629422664642334,9.563785552978516,0.0,9.589751243591309,9.44261646270752,9.468581199645996,0.0,14128833.0,0.147134780883789,0.0156249588569015,9.435691833496094,9.44261598587036,1.2891517406286188,1
2000-03-03,2.5374293327331543,9.468581199645996,0.0,9.736886024475098,9.433960914611816,9.650336265563965,0.0,16796144.0,0.3029251098632812,-0.0099546725305723,9.447808837890625,9.453001976013184,1.5544309175028497,1
2000-03-06,2.528150796890259,9.433960914611816,0.0,9.624370574951172,9.433960914611816,9.624370574951172,0.0,12355814.0,0.1904096603393554,-0.0036563329081947,9.463387870788576,9.4434814453125,1.1083057012189608,1
2000-03-07,2.51887321472168,9.399340629577637,0.0,9.563785552978516,9.364721298217772,9.451271057128906,0.0,10034784.0,0.1990642547607422,-0.0036697507385851,9.456463813781738,9.4434814453125,0.9128705565535438,1
2000-03-08,2.5397489070892334,9.477235794067385,0.0,9.563785552978516,9.347411155700684,9.35606575012207,0.0,9208349.0,0.216374397277832,0.0082873009458372,9.46858081817627,9.4304988861084,0.8391925046764207,1
2000-03-09,2.5583043098449707,9.546476364135742,0.0,9.650336265563965,9.433960914611816,9.485891342163086,0.0,14804511.0,0.2163753509521484,0.007305987903319,9.465118980407714,9.450405406951903,1.304933280537247,1
2000-03-10,2.595412254333496,9.684955596923828,0.0,9.684955596923828,9.494545936584473,9.641680717468262,0.0,59945035.0,0.1904096603393554,0.0145057953852298,9.50839385986328,9.478101348876953,3.6674734002185385,1
2000-03-13,2.59309458732605,9.67630100250244,0.0,9.67630100250244,9.67630100250244,9.67630100250244,0.0,0.0,0.0,-0.0008936121941679,9.556861877441406,9.51012487411499,0.0,1
2000-03-14,2.6186065673828125,9.771506309509276,0.0,9.771506309509276,9.57244110107422,9.736886024475098,0.0,23476575.0,0.1990652084350586,0.0098390187512991,9.631295013427737,9.543879413604737,1.3818590158553548,1
2000-03-15,2.6394824981689453,9.849401473999023,0.0,9.909985542297363,9.607061386108398,9.633026123046877,0.0,33445529.0,0.3029241561889648,0.0079716639402813,9.705728149414062,9.587154483795166,1.722260106710774,1
2000-03-16,2.6835505962371826,10.013846397399902,0.0,10.03981113433838,9.89267635345459,9.935951232910156,0.0,16516306.0,0.147134780883789,0.0166959305938527,9.799202156066894,9.632160568237303,0.8401693967028602,1
2000-03-17,2.7508134841918945,10.26484203338623,0.0,10.386012077331545,10.057121276855469,10.135017395019531,0.0,24520456.0,0.3288908004760742,0.025064857800445,9.915179443359374,9.711786651611328,1.2001748796527687,1
2000-03-20,2.7484946250915527,10.256187438964844,0.0,10.37735652923584,10.21291160583496,10.21291160583496,0.0,20072443.0,0.1644449234008789,-0.0008431298205309,10.031156730651857,9.79400930404663,0.9467062283537464,1
2000-03-21,2.713703393936157,10.126360893249512,0.0,10.273496627807615,9.909985542297363,10.178292274475098,0.0,11023983.0,0.3635110855102539,-0.0126583632063997,10.102127647399902,9.866711330413818,0.5175258468857142,1
2000-03-22,2.685871362686157,10.022500991821287,0.0,10.256187438964844,9.927295684814451,10.126360893249512,0.0,12947772.0,0.3288917541503906,-0.0102563894890866,10.136747550964357,9.92123785018921,0.597352530149464,1
2000-03-23,2.6394824981689453,9.849401473999023,0.0,10.143671989440918,9.82343578338623,10.03981113433838,0.0,10456218.0,0.3202362060546875,-0.0172710901164809,10.10385856628418,9.951530361175536,0.4922789775501597,1
